50	3	50				
54	1	1	7	1	1	B
72	1	1	6	2	2	D
140	1	1	4	4	1	A
162	2	1	5	9	1	B
14	3	1	7	7	3	B
27	3	1	9	1	3	C
152	3	1	8	3	2	B
73	1	2	5	10	1	A
88	1	2	9	1	1	D
57	1	2	10	10	1	B
149	1	2	8	6	3	D
164	3	2	5	2	3	A
59	3	2	7	2	1	A
98	3	2	7	7	1	A
6	1	3	2	9	3	A
187	1	3	8	9	1	A
175	3	3	6	1	2	D
42	3	3	8	8	3	B
155	3	3	4	3	3	C
45	1	4	2	7	3	A
15	1	4	1	8	2	C
24	1	4	8	8	3	B
25	1	4	9	2	3	C
117	2	4	8	9	2	C
60	3	4	7	2	1	D
90	3	4	3	1	1	B
172	3	4	6	4	1	D
182	3	4	8	3	2	B
191	3	4	4	1	1	A
67	1	5	6	5	1	B
77	1	5	2	10	3	D
100	1	5	4	8	2	D
80	1	5	10	4	3	B
118	1	5	5	10	2	B
44	3	5	1	2	1	D
49	1	6	2	9	2	A
174	3	6	1	9	2	A
179	3	6	8	3	2	B
5	3	6	7	1	3	D
34	3	6	8	4	2	C
169	3	6	8	4	2	C
173	3	6	1	8	2	B
2	1	7	10	4	3	A
33	1	7	6	9	2	A
30	1	7	6	10	2	B
68	1	7	8	7	3	B
70	1	7	9	5	3	A
141	1	7	3	3	1	D
193	1	7	8	1	3	B
29	3	7	6	4	1	A
37	3	7	6	4	1	A
39	3	7	1	2	3	D
64	3	7	8	4	1	A
160	3	7	5	3	1	D
22	1	8	9	4	3	B
129	2	8	3	1	1	A
167	3	8	4	6	3	D
97	3	8	3	4	3	D
163	3	8	3	10	3	D
75	1	9	6	2	2	A
120	1	9	5	3	1	A
128	1	9	5	5	3	C
156	1	9	10	8	3	A
126	2	9	7	4	2	D
65	3	9	4	9	2	A
95	3	9	7	5	1	C
105	3	9	3	9	3	B
111	3	9	9	8	1	C
124	3	9	10	9	3	D
189	3	9	4	10	1	B
84	1	10	4	8	2	D
3	1	10	3	1	2	D
10	1	10	8	3	2	B
13	1	10	9	9	3	B
83	1	10	5	1	2	D
86	1	10	2	8	1	C
93	1	10	8	10	2	B
146	2	10	2	3	2	B
87	3	10	1	1	1	C
102	3	10	3	10	2	C
158	3	10	8	8	1	A
20	1	11	6	8	3	C
92	1	11	8	9	3	A
139	1	11	3	3	2	A
142	1	11	6	10	3	D
148	1	11	5	2	3	C
106	3	11	5	8	1	B
132	3	11	8	8	3	D
195	3	11	2	1	3	B
48	1	12	2	8	3	C
147	1	12	9	3	1	A
188	1	12	2	10	2	B
197	1	12	1	4	1	A
123	2	12	10	9	1	B
176	3	12	9	1	2	A
109	1	13	8	8	1	A
110	1	13	10	8	3	C
183	1	13	10	9	2	B
23	1	13	10	9	3	B
89	2	13	5	4	1	B
96	2	13	5	3	2	B
121	2	13	10	1	3	D
177	3	13	7	3	1	C
199	3	13	8	5	1	A
190	1	14	2	9	2	A
36	2	14	8	5	2	A
46	2	14	2	3	3	C
99	2	14	3	9	3	A
113	2	14	7	4	2	D
134	2	14	9	5	1	D
7	3	14	2	1	2	A
58	3	14	9	7	1	B
138	3	14	4	2	1	B
62	1	15	8	10	3	D
94	1	15	7	2	2	A
112	1	15	8	6	1	D
186	1	15	2	5	1	A
16	2	15	7	7	3	C
35	2	15	6	7	2	C
4	3	15	8	8	1	B
69	3	15	9	2	3	D
103	3	15	3	2	2	C
150	3	15	5	2	2	D
107	1	16	6	9	1	B
119	1	16	9	6	1	D
137	1	16	2	4	3	B
11	2	16	4	7	1	C
38	2	16	10	8	3	B
125	2	16	5	10	2	B
8	3	16	7	7	1	D
81	3	16	3	5	1	B
136	1	17	1	8	1	A
143	1	17	4	9	1	B
79	2	17	3	4	2	A
114	2	17	7	8	3	A
159	2	17	8	5	1	C
133	3	17	7	4	1	A
19	1	18	4	8	2	C
32	1	18	3	9	1	D
115	1	18	3	7	3	C
28	2	18	5	9	1	B
31	2	18	3	10	2	B
144	2	18	6	3	3	D
74	3	18	8	10	2	C
170	3	18	7	4	1	A
26	1	19	2	9	2	A
85	2	19	10	4	2	B
101	2	19	1	6	1	B
178	3	19	5	3	3	C
50	3	19	3	9	3	C
82	3	19	10	2	3	D
12	1	20	2	9	3	B
145	1	20	8	8	2	C
192	3	20	10	9	1	A
1	3	20	9	1	1	D
55	3	20	9	1	1	C
166	3	20	9	10	2	B
171	3	20	4	5	1	B
185	3	20	1	7	1	A
9	1	21	9	6	3	C
21	1	21	8	2	2	C
151	1	21	7	1	2	D
116	2	21	1	9	1	C
122	2	21	8	1	1	A
53	3	21	2	7	3	A
194	3	21	1	5	3	C
17	1	22	7	3	2	A
71	3	22	9	10	1	B
78	3	22	2	6	2	D
161	3	22	9	7	1	C
196	1	23	9	8	1	B
135	2	23	8	9	3	C
51	3	23	9	3	3	A
56	3	23	10	7	1	C
157	3	23	3	9	2	B
198	3	23	1	1	1	D
43	1	25	9	4	3	C
181	1	25	1	9	2	B
18	3	25	1	4	1	A
131	3	25	2	4	1	A
52	1	27	9	8	2	B
76	1	27	6	6	3	B
127	1	27	3	2	3	D
184	1	27	5	2	1	C
180	3	27	3	2	3	D
63	3	27	5	1	1	B
66	3	27	3	3	3	D
104	1	28	3	3	3	B
108	1	28	6	8	1	D
153	2	28	10	7	1	D
40	3	28	1	5	3	B
91	3	28	3	9	2	C
41	1	29	6	5	1	B
130	1	29	2	5	1	B
154	1	29	8	3	2	B
168	3	29	9	3	1	B
61	3	29	4	4	3	A
47	3	29	2	2	1	D
165	3	29	7	10	1	B
-1
